SMILES,rate of thermal isomerisation from Z-E in s-1,Solvent used for thermal isomerisation rates,Z PhotoStationaryState,E PhotoStationaryState,E isomer pi-pi* wavelength in nm,Extinction,E isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1,Z isomer pi-pi* wavelength in nm,Extinction.1,Z isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1.1,Wiberg index,E-Z irradiation wavelength in nm,Z-E irradiation wavelength,Irradiation solvent,PBE0 DFT E isomer pi-pi* wavelength in nm,PBE0 DFT E isomer n-pi* wavelength in nm,PBE0 DFT Z isomer pi-pi* wavelength in nm,PBE0 DFT Z isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer n-pi* wavelength in nm,BHLYP/6-31G* DFT E isomer pi-pi* wavelength in nm,BHLYP/6-31G* DFT E isomer n-pi* wavelength in nm,BHLYP/6-31G* Z isomer pi-pi* wavelength in nm,BHLYP/6-31G* DFT Z isomer n-pi* wavelength in nm,name,selfies,wavelength_cat,inchi
C[N]1C=CC(=N1)N=NC2=CC=CC=C2,2.1e-07,MeCN,76.0,72.0,310.0,1.67,442.0,0.0373,290.0,0.243,428.0,0.1009999999999999,1.896,355,532,MeCN,305.0,480.0,286.0,448.0,,,,,,,,,,,,,,[C][NH0][N][=N][C][=Branch1][Ring2][=N][Ring1][Branch1][N][=N][C][=C][C][=C][C][=C][Ring1][=Branch1],very small,"InChI=1S/C10H10N4/c1-14-8-7-10(13-14)12-11-9-5-3-2-4-6-9/h2-8H,1H3"
C[N]1C=NC(=N1)N=NC2=CC=CC=C2,3.8e-07,MeCN,90.0,84.0,310.0,1.87,438.0,0.0505,272.0,0.489,434.0,0.127,1.899,355,532,MeCN,306.0,473.0,284.0,448.0,,,,,,,,,,,,,,[C][NH0][C][=N][C][=Branch1][Ring2][=N][Ring1][Branch1][N][=N][C][=C][C][=C][C][=C][Ring1][=Branch1],very small,"InChI=1S/C9H9N5/c1-14-7-10-9(13-14)12-11-8-5-3-2-4-6-8/h2-7H,1H3"
C[N]1C=CC(=N1)N=NC2=CC=CC=C2,1.1e-07,MeCN,98.0,97.0,320.0,1.46,425.0,0.0778,272.0,0.908,422.0,0.108,1.877,355,532,MeCN,311.0,454.0,285.0,445.0,,,,,,,,,,,,,,[C][NH0][C][=C][C][=Branch1][Ring2][=N][Ring1][Branch1][N][=N][C][=C][C][=C][C][=C][Ring1][=Branch1],very small,"InChI=1S/C10H10N4/c1-14-8-7-10(13-14)12-11-9-5-3-2-4-6-9/h2-8H,1H3"
C[N]1C=C(C)C(=N1)N=NC2=CC=CC=C2,1.5e-06,MeCN,96.0,87.0,325.0,1.74,428.0,0.0612,286.0,0.515,438.0,0.136,1.874,355,532,MeCN,317.0,458.0,302.0,461.0,,,,,,,,,,,,,,[C][NH0][C][=C][Branch1][C][C][C][=Branch1][Ring2][=N][Ring1][=Branch1][N][=N][C][=C][C][=C][C][=C][Ring1][=Branch1],very small,"InChI=1S/C11H12N4/c1-9-8-15(2)14-11(9)13-12-10-6-4-3-5-7-10/h3-8H,1-2H3"
C[N]1C=C(C=N1)N=NC2=CC=CC=C2,7.6e-09,MeCN,98.0,70.0,328.0,1.66,417.0,0.064,275.0,0.8059999999999999,403.0,0.0666,1.849,355,532,MeCN,318.0,447.0,278.0,409.0,328.0,455.0,295.0,410.0,305.0,427.0,256.0,401.0,,,,,,[C][NH0][C][=C][Branch1][Branch1][C][=N][Ring1][Branch1][N][=N][C][=C][C][=C][C][=C][Ring1][=Branch1],very small,"InChI=1S/C10H10N4/c1-14-8-10(7-11-14)13-12-9-5-3-2-4-6-9/h2-8H,1H3"
C[N]1N=C(C)C(=C1C)N=NC2=CC=CC=C2,7.7e-07,MeCN,98.0,98.0,335.0,2.27,425.0,0.0963,296.0,0.5770000000000001,441.0,0.23,1.837,355,532,MeCN,327.0,443.0,297.0,460.0,337.0,453.0,311.0,462.0,314.0,422.0,279.0,449.0,,,,,"phenyl-(1,3,5-trimethylpyrazol-4-yl)diazene",[C][NH0][N][=C][Branch1][C][C][C][=Branch1][Branch1][=C][Ring1][=Branch1][C][N][=N][C][=C][C][=C][C][=C][Ring1][=Branch1],very small,"InChI=1S/C12H14N4/c1-9-12(10(2)16(3)15-9)14-13-11-7-5-4-6-8-11/h4-8H,1-3H3"
C[N]1N=CC=C1N=NC2=CC=CC=C2,7.4e-07,MeCN,98.0,79.0,341.0,1.62,425.0,0.0676,289.0,0.6940000000000001,430.0,0.0873,1.841,355,532,MeCN,333.0,457.0,299.0,439.0,,,,,,,,,,,,,,[C][NH0][N][=C][C][=C][Ring1][Branch1][N][=N][C][=C][C][=C][C][=C][Ring1][=Branch1],small,"InChI=1S/C10H10N4/c1-14-10(7-8-11-14)13-12-9-5-3-2-4-6-9/h2-8H,1H3"
C[N]1N=CC(=C1N=NC2=CC=CC=C2)C,1.6e-05,MeCN,94.0,86.0,340.0,1.82,435.0,0.0854,296.0,0.5529999999999999,451.0,0.221,1.825,355,532,MeCN,338.0,452.0,320.0,473.0,,,,,,,,,,,,,,[C][NH0][N][=C][C][=Branch1][=C][=C][Ring1][Branch1][N][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C],small,"InChI=1S/C11H12N4/c1-9-8-12-15(2)11(9)14-13-10-6-4-3-5-7-10/h3-8H,1-2H3"
CC(N(C)C(C)=C1)=C1/N=N/C2=CC=CC=C2,2.2e-06,MeCN,77.0,85.0,363.0,1.93,410.0,,311.0,0.875,405.0,0.142,1.828,355,532,MeCN,359.0,437.0,285.0,401.0,,,,,,,,,,,,,,[C][C][Branch1][#Branch2][N][Branch1][C][C][C][Branch1][C][C][=C][=C][Ring1][C][/N][=N][/C][=C][C][=C][C][=C][Ring1][=Branch1],small,"InChI=1S/C13H15N3/c1-10-9-13(11(2)16(10)3)15-14-12-7-5-4-6-8-12/h4-9H,1-3H3/b15-14+"
CC(N(C)C(C)=C1C)=C1/N=N/C2=CC=CC=C2,0.0007599999999999,MeCN,85.0,98.0,345.0,1.66,410.0,,300.0,0.52,462.0,0.332,1.822,355,532,MeCN,344.0,441.0,340.0,468.0,,,,,,,,,,,,,,[C][C][Branch1][O][N][Branch1][C][C][C][Branch1][C][C][=C][C][=C][Ring1][Ring1][/N][=N][/C][=C][C][=C][C][=C][Ring1][=Branch1],small,"InChI=1S/C14H17N3/c1-10-11(2)17(4)12(3)14(10)16-15-13-8-6-5-7-9-13/h5-9H,1-4H3/b16-15+"
